systems,dopant_charge_diff_vert_N2,dopant_charge_diff_horz_N2,dopant_charge_diff_N2H
CuNi,0.0097000000000023,0.0387000000000021,0.0176000000000015
Ag@Cu,0.02250000000000081,0.04260000000000021,0.014500000000001706
Ag@Ni,0.018799999999998804,0.010999999999999205,0.0131999999999977
Au@Cu,0.015000000000000568,0.02500000000000041,0.019899999999999807
Au@Ni,0.0218999999999987,0.013600000000000279,0.03669999999999968
Pd@Ni,0.016099999999998005,0.008899999999996966,0.03349999999999648
Pd@Cu,0.023499999999998522,0.055199999999999305,0.19619999999999752
Pt@Ni,9.999999999976694e-05,0.00590000000000046,0.0004999999999988347
Fe@Ni,0.015799999999998704,0.00919999999999993,0.012699999999998823
