system,dopant_charge,Nmin,Nmax,H,electroneg_diff,N2H_adsorption_energy,dopant_charge_diff,nearest_TM,nearest_TM_charge,nearest_TM_dis,nearest_TM_ind,second_nearest_TM,second_nearest_TM_charge,second_nearest_TM_dis,second_nearest_TM_ind,third_nearest_TM,third_nearest_TM_charge,third_nearest_TM_dis,third_nearest_TM_ind,dopant_closest_atoms_inds,dopant_N2_dis,dopant_N2_dis_manual,surf_charge_transfer,neg_charge_transfer,pos_charge_transfer,dopant_charge_N2_dis,dopant_NN_0_atomNum,dopant_NN_0_before,dopant_NN_0_after,dopant_NN_0_diff,dopant_NN_1_atomNum,dopant_NN_1_before,dopant_NN_1_after,dopant_NN_1_diff,dopant_NN_2_atomNum,dopant_NN_2_before,dopant_NN_2_after,dopant_NN_2_diff,dopant_NN_4_atomNum,dopant_NN_4_before,dopant_NN_4_after,dopant_NN_4_diff,dopant_NN_5_atomNum,dopant_NN_5_before,dopant_NN_5_after,dopant_NN_5_diff,dopant_NN_6_atomNum,dopant_NN_6_before,dopant_NN_6_after,dopant_NN_6_diff,dopant_NN_7_atomNum,dopant_NN_7_before,dopant_NN_7_after,dopant_NN_7_diff,dopant_NN_8_atomNum,dopant_NN_8_before,dopant_NN_8_after,dopant_NN_8_diff,dopant_NN_9_atomNum,dopant_NN_9_before,dopant_NN_9_after,dopant_NN_9_diff,no_dopant_NN_0_atomNum,no_dopant_NN_0_before,no_dopant_NN_0_after,no_dopant_NN_0_diff,no_dopant_NN_1_atomNum,no_dopant_NN_1_before,no_dopant_NN_1_after,no_dopant_NN_1_diff,no_dopant_NN_2_atomNum,no_dopant_NN_2_before,no_dopant_NN_2_after,no_dopant_NN_2_diff,no_dopant_NN_4_atomNum,no_dopant_NN_4_before,no_dopant_NN_4_after,no_dopant_NN_4_diff,no_dopant_NN_5_atomNum,no_dopant_NN_5_before,no_dopant_NN_5_after,no_dopant_NN_5_diff,no_dopant_NN_6_atomNum,no_dopant_NN_6_before,no_dopant_NN_6_after,no_dopant_NN_6_diff,no_dopant_NN_7_atomNum,no_dopant_NN_7_before,no_dopant_NN_7_after,no_dopant_NN_7_diff,no_dopant_NN_8_atomNum,no_dopant_NN_8_before,no_dopant_NN_8_after,no_dopant_NN_8_diff,no_dopant_NN_9_atomNum,no_dopant_NN_9_before,no_dopant_NN_9_after,no_dopant_NN_9_diff
CuNi,-0.02,-0.3872,-0.2510000000000003,0.4619999999999999,0.0,-1.857681583379304,0.0176000000000015,Ni,0.1517000000000017,3.218886806024716,62,Ni,-0.0055000000000013,5.787782235882756,61,Cu,0.0158999999999984,5.895361327348818,29,[-1],6.5545433786420215,3.47,0.1770000000000143,-0.1281999999999883,0.3052000000000027,-0.0030513185808137,55,-0.0466000000000015,-0.0534999999999996,-0.0068999999999981,27,-0.0227000000000003,-0.0264999999999986,-0.0037999999999983,59,-0.0499000000000009,-0.0475999999999992,0.0023000000000017,56,-0.0360000000000013,-0.0229999999999996,0.0130000000000017,62,-0.0417999999999985,0.1517000000000017,0.1935000000000002,63,-0.0477999999999987,-0.0461999999999989,0.0015999999999997,19,0.0382999999999995,0.0305999999999997,-0.0076999999999998,24,0.0396999999999998,0.0406000000000013,0.0009000000000015,23,0.0474999999999994,0.0409000000000006,-0.0065999999999987,55,-0.0466000000000015,-0.0466000000000015,0.0,27,-0.0227000000000003,-0.0227000000000003,0.0,59,-0.0499000000000009,-0.0499000000000009,0.0,56,-0.0360000000000013,-0.0360000000000013,0.0,62,-0.0417999999999985,-0.0417999999999985,0.0,63,-0.0477999999999987,-0.0477999999999987,0.0,19,0.0382999999999995,0.0382999999999995,0.0,24,0.0396999999999998,0.0396999999999998,0.0,23,0.0474999999999994,0.0474999999999994,0.0
Ag@Cu,-0.1198000000000014,-0.3330000000000002,-0.3303000000000002,0.4354,0.0244999999999999,-1.845223117793353,0.0145000000000017,Ni,0.1857000000000006,3.2377064196742733,62,Ni,0.0153999999999996,5.419277096624605,61,Cu,0.0263999999999988,5.648500779853005,57,"[63, 62, 46, 47, 64, 42, 65, 66, 61]",6.553419453422772,3.47,0.2280000000000123,-0.1596999999999933,0.3877000000000056,-0.0182805329113233,48,-0.0196000000000005,-0.0265999999999984,-0.0069999999999979,52,-0.0044000000000004,-0.0121999999999999,-0.0077999999999995,55,-0.0363000000000006,-0.0410000000000003,-0.0046999999999996,50,-0.0195000000000007,-0.0061999999999997,0.013300000000001,62,-0.0353999999999992,0.1857000000000006,0.2210999999999998,63,-0.0272000000000005,-0.0253000000000014,0.0018999999999991,35,0.0485000000000006,0.0396,-0.0089000000000005,47,0.0447999999999986,0.0451000000000014,0.0003000000000028,46,0.0527000000000015,0.0511000000000017,-0.0015999999999998,48,-0.0466000000000015,-0.0196000000000005,0.027000000000001002,52,-0.0227000000000003,-0.0044000000000004,0.0182999999999999,55,-0.0499000000000009,-0.0363000000000006,0.0136000000000003,50,-0.0360000000000013,-0.0195000000000007,0.0165000000000006,62,-0.0417999999999985,-0.0353999999999992,0.006399999999999295,63,-0.0477999999999987,-0.0272000000000005,0.020599999999998196,35,0.0382999999999995,0.0485000000000006,0.010200000000001097,47,0.0396999999999998,0.0447999999999986,0.0050999999999988,46,0.0474999999999994,0.0527000000000015,0.005200000000002106
Au@Cu,-0.4458000000000002,-0.4359000000000002,-0.3791000000000002,0.4282,0.6345000000000001,-2.147020541246889,0.0198999999999998,Ni,0.2181999999999995,3.401889577866984,55,Cu,0.1693999999999995,3.770427584505504,56,Cu,0.0415999999999989,5.220669421635505,59,"[63, 62, 47, 46, 42, 61, 58, 60, 43]",14.164505906137355,3.72,0.386599999999991,-0.1968999999999989,0.5834999999999901,-0.0314730356959955,48,0.0127999999999985,0.0052999999999983,-0.0075000000000002,52,0.0197000000000002,0.0829999999999984,0.0632999999999981,55,0.0111999999999987,0.2181999999999995,0.2070000000000008,50,0.0138999999999995,0.0208000000000012,0.0069000000000017,62,0.0056000000000011,-0.0005999999999986,-0.0061999999999997,63,-0.0088000000000008,-0.0045000000000001,0.0043000000000007,35,0.0644999999999988,0.0597999999999991,-0.0046999999999996,47,0.0791000000000003,0.0745000000000004,-0.0045999999999998,46,0.0822000000000002,0.0845999999999982,0.002399999999998,48,-0.0466000000000015,0.0127999999999985,0.0594,52,-0.0227000000000003,0.0197000000000002,0.0424000000000005,55,-0.0499000000000009,0.0111999999999987,0.0610999999999996,50,-0.0360000000000013,0.0138999999999995,0.049900000000000805,62,-0.0417999999999985,0.0056000000000011,0.047399999999999595,63,-0.0477999999999987,-0.0088000000000008,0.0389999999999979,35,0.0382999999999995,0.0644999999999988,0.026199999999999293,47,0.0396999999999998,0.0791000000000003,0.0394000000000005,46,0.0474999999999994,0.0822000000000002,0.03470000000000081
Pd@Ni,-0.3223999999999982,-0.4391999999999996,-0.3906,0.4221,0.2945000000000002,-2.0052000505373826,0.0334999999999964,Ni,0.1944000000000016,3.3826969137065754,55,Cu,0.0137999999999998,6.490233787006444,35,Ni,-0.0050999999999987,7.235826869819371,54,"[61, 45, 49, 46, 62, 51, 41, 40, 29]",19.83282082716677,3.28,0.4079000000000088,-0.1967999999999921,0.6047000000000009,-0.0162558822473895,51,0.0182999999999999,0.1861999999999994,0.1678999999999995,55,-0.0145000000000017,0.1944000000000016,0.2089000000000033,54,-0.0054000000000016,-0.0050999999999987,0.0003000000000028,49,0.0263999999999988,0.0343000000000017,0.0079000000000028,61,-0.0060000000000002,0.0,0.0060000000000002,62,-0.0180000000000006,-0.0240000000000009,-0.0060000000000003,34,0.0320999999999997,-0.0036999999999984,-0.0357999999999981,46,0.0742000000000011,0.0532000000000003,-0.0210000000000007,45,0.0592000000000005,0.0703999999999993,0.0111999999999987,51,-0.0117000000000011,0.0182999999999999,0.030000000000000998,55,-0.0499000000000009,-0.0145000000000017,0.0353999999999992,54,-0.0315000000000011,-0.0054000000000016,0.0260999999999995,49,0.0066999999999985,0.0263999999999988,0.0197000000000003,61,-0.0359000000000016,-0.0060000000000002,0.029900000000001398,62,-0.0417999999999985,-0.0180000000000006,0.0237999999999979,34,0.0030999999999998,0.0320999999999997,0.028999999999999897,46,0.0474999999999994,0.0742000000000011,0.0267000000000017,45,0.0339999999999989,0.0592000000000005,0.025200000000001603
Pt@Ni,-0.5869,-0.5526999999999997,-0.3075999999999999,0.4223,0.3744999999999998,-2.126659203901795,0.0004999999999988,Ni,0.2352999999999987,3.392740328996608,55,Cu,0.0106000000000001,6.218128768367538,59,Cu,0.0259,6.688708681053468,35,"[45, 61, 46, 49, 51, 62, 41, 29, 40]",18.66608368639496,4.11,0.438199999999987,-0.1768000000000001,0.6149999999999872,-0.0314420533980446,51,0.0545000000000008,0.0714000000000005,0.0168999999999997,55,0.0193000000000012,0.2352999999999987,0.2159999999999975,54,0.0243999999999999,0.0219999999999984,-0.0024000000000015,49,0.0608000000000004,0.0612999999999992,0.0004999999999988,61,0.0293999999999989,0.0123999999999995,-0.0169999999999993,62,0.0139999999999993,0.0106000000000001,-0.0033999999999991,34,0.0583999999999989,0.0287000000000006,-0.0296999999999982,46,0.0864000000000011,0.0874999999999985,0.0010999999999973,45,0.0760000000000005,0.0748999999999995,-0.001100000000001,51,-0.0117000000000011,0.0545000000000008,0.0662000000000019,55,-0.0499000000000009,0.0193000000000012,0.06920000000000211,54,-0.0315000000000011,0.0243999999999999,0.055900000000001,49,0.0066999999999985,0.0608000000000004,0.054100000000001904,61,-0.0359000000000016,0.0293999999999989,0.0653000000000005,62,-0.0417999999999985,0.0139999999999993,0.055799999999997796,34,0.0030999999999998,0.0583999999999989,0.0552999999999991,46,0.0474999999999994,0.0864000000000011,0.038900000000001704,45,0.0339999999999989,0.0760000000000005,0.0420000000000016
Fe@Ni,0.3732000000000006,-0.4381000000000004,-0.3883999999999998,0.4205,-0.0754999999999999,-2.094582280550526,0.0126999999999988,Ni,0.1311999999999997,3.4016622201506137,55,Cu,0.0167999999999999,6.510282503086943,59,Cu,0.0243000000000002,6.680826438398173,35,"[45, 61, 46, 49, 62, 51, 41, 29, 40]",19.09677623959081,4.02,0.4057000000000241,-0.1869999999999867,0.5927000000000109,0.0195425654737627,51,-0.0469000000000008,-0.0100000000000015,0.0368999999999993,55,-0.0831000000000017,0.1311999999999997,0.2143000000000014,54,-0.0742000000000011,-0.0627999999999993,0.0114000000000017,49,-0.039200000000001,-0.0415999999999989,-0.0023999999999979,61,-0.0809999999999995,-0.0813999999999985,-0.0003999999999989,62,-0.0797999999999987,-0.0832000000000015,-0.0034000000000027,34,-0.0321999999999995,-0.0594999999999998,-0.0273000000000003,46,-0.0035999999999987,0.0051999999999985,0.0087999999999972,45,-0.0077999999999995,-0.0294999999999987,-0.0216999999999992,51,-0.0117000000000011,-0.0469000000000008,-0.035199999999999704,55,-0.0499000000000009,-0.0831000000000017,-0.0332000000000008,54,-0.0315000000000011,-0.0742000000000011,-0.0427,49,0.0066999999999985,-0.039200000000001,-0.0458999999999995,61,-0.0359000000000016,-0.0809999999999995,-0.045099999999997906,62,-0.0417999999999985,-0.0797999999999987,-0.03800000000000021,34,0.0030999999999998,-0.0321999999999995,-0.0352999999999993,46,0.0474999999999994,-0.0035999999999987,-0.0510999999999981,45,0.0339999999999989,-0.0077999999999995,-0.0417999999999984
Pd@Cu,-0.3326999999999991,-0.4775999999999998,-0.2545999999999999,0.4267999999999999,0.2945000000000002,-2.215674965641369,0.1961999999999975,Ni,0.1851999999999982,3.3588870984300736,55,Ni,-0.0239000000000011,6.676198511877848,54,Cu,0.049199999999999,6.854366046542888,35,"[63, 62, 47, 50, 46, 42, 61, 60, 58]",16.558174656117746,2.54,0.3055000000000124,-0.2015999999999955,0.5071000000000081,-0.0200927944601113,48,-0.0031999999999996,-0.0173999999999985,-0.0141999999999989,52,0.0067999999999983,0.0290999999999996,0.0223000000000012,55,-0.0137,0.1851999999999982,0.1988999999999982,50,0.0062999999999995,0.0275999999999996,0.0213000000000001,62,-0.0046999999999997,-0.0169999999999994,-0.0122999999999997,63,-0.0019999999999988,-0.0237000000000016,-0.0217000000000028,35,0.0701,0.049199999999999,-0.0209000000000009,47,0.0548999999999999,0.0448999999999983,-0.0100000000000015,46,0.0729000000000006,0.0646999999999984,-0.0082000000000022,48,-0.0466000000000015,-0.0031999999999996,0.0434000000000019,52,-0.0227000000000003,0.0067999999999983,0.0294999999999986,55,-0.0499000000000009,-0.0137,0.0362000000000009,50,-0.0360000000000013,0.0062999999999995,0.0423000000000008,62,-0.0417999999999985,-0.0046999999999997,0.0370999999999988,63,-0.0477999999999987,-0.0019999999999988,0.045799999999999896,35,0.0382999999999995,0.0701,0.031800000000000495,47,0.0396999999999998,0.0548999999999999,0.015200000000000102,46,0.0474999999999994,0.0729000000000006,0.025400000000001206
Ag@Ni,-0.1099999999999994,-0.4466000000000001,-0.3692000000000002,0.4124,0.0244999999999999,-2.125236244521944,0.0131999999999977,Ni,0.1847999999999992,3.379825809120937,55,Cu,0.1553000000000004,3.813360230820057,52,Cu,0.0008000000000016,6.537902117652115,59,"[61, 49, 51, 46, 62, 45, 41, 63, 57]",18.85102121935308,3.79,0.4033999999999975,-0.1843000000000002,0.5876999999999977,-0.005835227636743,51,0.0031999999999996,0.0341999999999984,0.0309999999999988,55,-0.0402999999999984,0.1847999999999992,0.2250999999999975,54,-0.0299000000000013,-0.0267000000000017,0.0031999999999995,49,0.0132000000000012,0.0100000000000015,-0.0031999999999996,61,-0.0267000000000017,-0.0260999999999995,0.0006000000000022,62,-0.0410000000000003,-0.0418999999999982,-0.0008999999999979,34,0.0005999999999986,-0.0167999999999999,-0.0173999999999985,46,0.0554999999999985,0.0646999999999984,0.0091999999999998,45,0.0376000000000011,0.0222000000000015,-0.0153999999999995,51,-0.0117000000000011,0.0031999999999996,0.014900000000000701,55,-0.0499000000000009,-0.0402999999999984,0.009600000000002502,54,-0.0315000000000011,-0.0299000000000013,0.001599999999999796,49,0.0066999999999985,0.0132000000000012,0.006500000000002701,61,-0.0359000000000016,-0.0267000000000017,0.009199999999999896,62,-0.0417999999999985,-0.0410000000000003,0.000799999999998198,34,0.0030999999999998,0.0005999999999986,-0.0025000000000012,46,0.0474999999999994,0.0554999999999985,0.007999999999999105,45,0.0339999999999989,0.0376000000000011,0.0036000000000021987
Au@Ni,-0.4376999999999995,-0.5408999999999997,-0.3025000000000002,0.4297999999999999,0.6345000000000001,-2.845959097611626,0.0366999999999996,Ni,0.1999999999999993,3.4715830236363354,54,Ni,0.1834999999999986,3.4837296479491644,55,Cu,0.1107000000000013,4.388944689785918,59,"[61, 46, 51, 62, 45, 49, 41, 63, 29]",15.347743314002225,3.3,0.4135999999999769,-0.1978000000000113,0.6113999999999884,-0.028518850689969,51,0.0439000000000007,0.0361000000000011,-0.0077999999999995,55,-0.0039000000000015,0.1834999999999986,0.1874000000000001,54,0.0056000000000011,0.1999999999999993,0.1943999999999981,49,0.0545000000000008,0.0481000000000015,-0.0063999999999992,61,0.0132000000000012,0.0164000000000008,0.0031999999999995,62,-0.0030000000000001,0.0008000000000016,0.0038000000000016,34,0.0372999999999983,0.0183999999999997,-0.0188999999999986,46,0.0894000000000012,0.0829999999999984,-0.0064000000000028,45,0.059000000000001,0.0520999999999993,-0.0069000000000017,51,-0.0117000000000011,0.0439000000000007,0.0556000000000018,55,-0.0499000000000009,-0.0039000000000015,0.0459999999999994,54,-0.0315000000000011,0.0056000000000011,0.037100000000002194,49,0.0066999999999985,0.0545000000000008,0.0478000000000023,61,-0.0359000000000016,0.0132000000000012,0.049100000000002794,62,-0.0417999999999985,-0.0030000000000001,0.0387999999999984,34,0.0030999999999998,0.0372999999999983,0.0341999999999985,46,0.0474999999999994,0.0894000000000012,0.041900000000001804,45,0.0339999999999989,0.059000000000001,0.025000000000002104
