system,dopant_charge,Nmin,Nmax,electroneg_diff,N2_adsorption_energy,dopant_charge_diff,nearest_TM,nearest_TM_charge,nearest_TM_dis,nearest_TM_ind,second_nearest_TM,second_nearest_TM_charge,second_nearest_TM_dis,second_nearest_TM_ind,third_nearest_TM,third_nearest_TM_charge,third_nearest_TM_dis,third_nearest_TM_ind,dopant_closest_atoms_inds,dopant_N2_dis,dopant_N2_dis_manual,surf_charge_transfer,neg_charge_transfer,pos_charge_transfer,dopant_charge_N2_dis,dopant_NN_0_atomNum,dopant_NN_0_before,dopant_NN_0_after,dopant_NN_0_diff,dopant_NN_1_atomNum,dopant_NN_1_before,dopant_NN_1_after,dopant_NN_1_diff,dopant_NN_2_atomNum,dopant_NN_2_before,dopant_NN_2_after,dopant_NN_2_diff,dopant_NN_4_atomNum,dopant_NN_4_before,dopant_NN_4_after,dopant_NN_4_diff,dopant_NN_5_atomNum,dopant_NN_5_before,dopant_NN_5_after,dopant_NN_5_diff,dopant_NN_6_atomNum,dopant_NN_6_before,dopant_NN_6_after,dopant_NN_6_diff,dopant_NN_7_atomNum,dopant_NN_7_before,dopant_NN_7_after,dopant_NN_7_diff,dopant_NN_8_atomNum,dopant_NN_8_before,dopant_NN_8_after,dopant_NN_8_diff,dopant_NN_9_atomNum,dopant_NN_9_before,dopant_NN_9_after,dopant_NN_9_diff,no_dopant_NN_0_atomNum,no_dopant_NN_0_before,no_dopant_NN_0_after,no_dopant_NN_0_diff,no_dopant_NN_1_atomNum,no_dopant_NN_1_before,no_dopant_NN_1_after,no_dopant_NN_1_diff,no_dopant_NN_2_atomNum,no_dopant_NN_2_before,no_dopant_NN_2_after,no_dopant_NN_2_diff,no_dopant_NN_4_atomNum,no_dopant_NN_4_before,no_dopant_NN_4_after,no_dopant_NN_4_diff,no_dopant_NN_5_atomNum,no_dopant_NN_5_before,no_dopant_NN_5_after,no_dopant_NN_5_diff,no_dopant_NN_6_atomNum,no_dopant_NN_6_before,no_dopant_NN_6_after,no_dopant_NN_6_diff,no_dopant_NN_7_atomNum,no_dopant_NN_7_before,no_dopant_NN_7_after,no_dopant_NN_7_diff,no_dopant_NN_8_atomNum,no_dopant_NN_8_before,no_dopant_NN_8_after,no_dopant_NN_8_diff,no_dopant_NN_9_atomNum,no_dopant_NN_9_before,no_dopant_NN_9_after,no_dopant_NN_9_diff
CuNi,-0.02,-0.2393999999999998,0.0128000000000003,0.0,-0.7675,0.0097000000000023,Ni,0.1401000000000003,3.3837813611402274,62,Ni,-0.0298000000000016,6.052171094739475,63,Cu,0.0171999999999989,6.069091636315933,29,[-1],18.017090467248035,3.5,0.2267000000000188,-0.1143999999999926,0.3411000000000114,-0.0011100571447069,55,-0.0466000000000015,-0.038499999999999,0.0081000000000025,27,-0.0227000000000003,-0.0215999999999993,0.0011000000000009,59,-0.0499000000000009,-0.0467000000000012,0.0031999999999997,56,-0.0360000000000013,-0.0231999999999992,0.0128000000000021,62,-0.0417999999999985,0.1401000000000003,0.1818999999999988,63,-0.0477999999999987,-0.0298000000000016,0.017999999999997,19,0.0382999999999995,0.0322999999999993,-0.0060000000000002,24,0.0396999999999998,0.0409000000000006,0.0012000000000008,23,0.0474999999999994,0.038499999999999,-0.0090000000000003,55,-0.0466000000000015,-0.0466000000000015,0.0,27,-0.0227000000000003,-0.0227000000000003,0.0,59,-0.0499000000000009,-0.0499000000000009,0.0,56,-0.0360000000000013,-0.0360000000000013,0.0,62,-0.0417999999999985,-0.0417999999999985,0.0,63,-0.0477999999999987,-0.0477999999999987,0.0,19,0.0382999999999995,0.0382999999999995,0.0,24,0.0396999999999998,0.0396999999999998,0.0,23,0.0474999999999994,0.0474999999999994,0.0
Ag@Cu,-0.1198000000000014,-0.2904,0.0403999999999999,0.0244999999999999,-0.7546,0.0225000000000008,Ni,0.1692999999999997,3.385799623427232,62,Cu,0.0097999999999984,5.87260692622961,57,Ni,-0.0165000000000006,6.032116641776747,61,"[55, 50, 35, 34, 54, 19, 18, 39, 59]",17.80350894697447,3.5,0.2501999999999957,-0.1077000000000048,0.3579000000000005,-0.0067290105763313,48,-0.0196000000000005,-0.0117000000000011,0.0078999999999993,52,-0.0044000000000004,-0.0054000000000016,-0.0010000000000011,55,-0.0363000000000006,-0.028500000000001,0.0077999999999996,50,-0.0195000000000007,-0.018699999999999,0.0008000000000017,62,-0.0353999999999992,0.1692999999999997,0.2046999999999989,63,-0.0272000000000005,-0.0288000000000003,-0.0015999999999997,35,0.0485000000000006,0.0431999999999987,-0.0053000000000019,47,0.0447999999999986,0.0473999999999996,0.002600000000001,46,0.0527000000000015,0.0539999999999984,0.0012999999999969,48,-0.0466000000000015,-0.0196000000000005,0.027000000000001002,52,-0.0227000000000003,-0.0044000000000004,0.0182999999999999,55,-0.0499000000000009,-0.0363000000000006,0.0136000000000003,50,-0.0360000000000013,-0.0195000000000007,0.0165000000000006,62,-0.0417999999999985,-0.0353999999999992,0.006399999999999295,63,-0.0477999999999987,-0.0272000000000005,0.020599999999998196,35,0.0382999999999995,0.0485000000000006,0.010200000000001097,47,0.0396999999999998,0.0447999999999986,0.0050999999999988,46,0.0474999999999994,0.0527000000000015,0.005200000000002106
Au@Cu,-0.4458000000000002,-0.4391999999999996,0.2088000000000001,0.6345000000000001,-0.8538,0.0150000000000005,Ni,0.1930000000000014,3.386464925257607,55,Cu,0.0147000000000012,5.784615490246523,59,Ni,-0.018699999999999,6.10306354956263,54,"[63, 62, 47, 46, 50, 42, 61, 58, 60]",14.653017131294158,3.67,0.2302000000000109,-0.1285999999999949,0.3588000000000058,-0.0304237684297736,48,0.0127999999999985,0.0322999999999993,0.0195000000000008,52,0.0197000000000002,0.0362000000000009,0.0165000000000006,55,0.0111999999999987,0.1930000000000014,0.1818000000000026,50,0.0138999999999995,0.0235999999999982,0.0096999999999987,62,0.0056000000000011,0.0028000000000005,-0.0028000000000005,63,-0.0088000000000008,0.0040000000000013,0.0128000000000021,35,0.0644999999999988,0.0573000000000014,-0.0071999999999973,47,0.0791000000000003,0.0744000000000006,-0.0046999999999996,46,0.0822000000000002,0.0823,9.99999999997947e-05,48,-0.0466000000000015,0.0127999999999985,0.0594,52,-0.0227000000000003,0.0197000000000002,0.0424000000000005,55,-0.0499000000000009,0.0111999999999987,0.0610999999999996,50,-0.0360000000000013,0.0138999999999995,0.049900000000000805,62,-0.0417999999999985,0.0056000000000011,0.047399999999999595,63,-0.0477999999999987,-0.0088000000000008,0.0389999999999979,35,0.0382999999999995,0.0644999999999988,0.026199999999999293,47,0.0396999999999998,0.0791000000000003,0.0394000000000005,46,0.0474999999999994,0.0822000000000002,0.03470000000000081
Pd@Ni,-0.3223999999999982,-0.5541999999999998,0.3045999999999997,0.2945000000000002,-0.8754,0.016099999999998,Ni,0.1868000000000016,3.3763914079975974,55,Cu,0.0161000000000015,5.9691720883217965,59,Ni,0.0020999999999986,6.265502749181425,54,"[61, 45, 46, 49, 51, 62, 41, 29, 40]",17.850221780905134,3.57,0.2493000000000191,-0.1367999999999867,0.3861000000000058,-0.0180614002423699,51,0.0182999999999999,0.0330000000000012,0.0147000000000013,55,-0.0145000000000017,0.1868000000000016,0.2013000000000033,54,-0.0054000000000016,0.0020999999999986,0.0075000000000001,49,0.0263999999999988,0.0328000000000017,0.0064000000000029,61,-0.0060000000000002,-0.0033999999999991,0.002600000000001,62,-0.0180000000000006,-0.0195000000000007,-0.0015000000000001,34,0.0320999999999997,0.0187999999999988,-0.0133000000000008,46,0.0742000000000011,0.0808999999999997,0.0066999999999985,45,0.0592000000000005,0.0550999999999994,-0.0041000000000011,51,-0.0117000000000011,0.0182999999999999,0.030000000000000998,55,-0.0499000000000009,-0.0145000000000017,0.0353999999999992,54,-0.0315000000000011,-0.0054000000000016,0.0260999999999995,49,0.0066999999999985,0.0263999999999988,0.0197000000000003,61,-0.0359000000000016,-0.0060000000000002,0.029900000000001398,62,-0.0417999999999985,-0.0180000000000006,0.0237999999999979,34,0.0030999999999998,0.0320999999999997,0.028999999999999897,46,0.0474999999999994,0.0742000000000011,0.0267000000000017,45,0.0339999999999989,0.0592000000000005,0.025200000000001603
Pt@Ni,-0.5869,-0.4383999999999997,0.2114000000000002,0.3744999999999998,-0.8464,9.999999999976694e-05,Ni,0.2007000000000012,3.384884543082675,55,Cu,0.0152999999999998,5.965586008096775,59,Ni,0.0349000000000003,6.335370695547341,54,"[45, 61, 46, 49, 51, 62, 41, 29, 40]",17.92384958107493,3.71,0.2271999999999919,-0.0928000000000042,0.3199999999999962,-0.0327440819755419,51,0.0545000000000008,0.0633000000000016,0.0088000000000008,55,0.0193000000000012,0.2007000000000012,0.1814,54,0.0243999999999999,0.0349000000000003,0.0105000000000003,49,0.0608000000000004,0.0621000000000009,0.0013000000000004,61,0.0293999999999989,0.0396,0.0102000000000011,62,0.0139999999999993,0.0071000000000012,-0.006899999999998,34,0.0583999999999989,0.0522999999999989,-0.0060999999999999,46,0.0864000000000011,0.0918999999999989,0.0054999999999977,45,0.0760000000000005,0.0806000000000004,0.0045999999999998,51,-0.0117000000000011,0.0545000000000008,0.0662000000000019,55,-0.0499000000000009,0.0193000000000012,0.06920000000000211,54,-0.0315000000000011,0.0243999999999999,0.055900000000001,49,0.0066999999999985,0.0608000000000004,0.054100000000001904,61,-0.0359000000000016,0.0293999999999989,0.0653000000000005,62,-0.0417999999999985,0.0139999999999993,0.055799999999997796,34,0.0030999999999998,0.0583999999999989,0.0552999999999991,46,0.0474999999999994,0.0864000000000011,0.038900000000001704,45,0.0339999999999989,0.0760000000000005,0.0420000000000016
Fe@Ni,0.3732000000000006,-0.5374999999999996,0.2821999999999995,-0.0754999999999999,-0.8771,0.0157999999999987,Ni,0.1304000000000016,3.378048794792638,55,Cu,0.0089000000000005,6.0290388960430485,59,Ni,-0.0610999999999997,6.2395056022092,54,"[45, 61, 46, 49, 62, 51, 41, 29, 40]",18.0689059880503,3.66,0.2553000000000194,-0.1064999999999969,0.3618000000000164,0.0206542665198885,51,-0.0469000000000008,-0.0219999999999984,0.0249000000000024,55,-0.0831000000000017,0.1304000000000016,0.2135000000000033,54,-0.0742000000000011,-0.0610999999999997,0.0131000000000013,49,-0.039200000000001,-0.0365000000000002,0.0027000000000007,61,-0.0809999999999995,-0.0771000000000015,0.003899999999998,62,-0.0797999999999987,-0.0858999999999987,-0.0060999999999999,34,-0.0321999999999995,-0.0515000000000007,-0.0193000000000011,46,-0.0035999999999987,0.0011000000000009,0.0046999999999996,45,-0.0077999999999995,-0.0181000000000004,-0.0103000000000009,51,-0.0117000000000011,-0.0469000000000008,-0.035199999999999704,55,-0.0499000000000009,-0.0831000000000017,-0.0332000000000008,54,-0.0315000000000011,-0.0742000000000011,-0.0427,49,0.0066999999999985,-0.039200000000001,-0.0458999999999995,61,-0.0359000000000016,-0.0809999999999995,-0.045099999999997906,62,-0.0417999999999985,-0.0797999999999987,-0.03800000000000021,34,0.0030999999999998,-0.0321999999999995,-0.0352999999999993,46,0.0474999999999994,-0.0035999999999987,-0.0510999999999981,45,0.0339999999999989,-0.0077999999999995,-0.0417999999999984
Pd@Cu,-0.3326999999999991,-0.5101000000000004,0.2759,0.2945000000000002,-0.8479,0.0234999999999985,Ni,0.1710999999999991,3.3781956145256,55,Cu,0.0072000000000009,5.95791806422344,59,Ni,-0.0211000000000005,6.230914123144371,54,"[63, 62, 47, 46, 50, 42, 61, 30, 58]",14.973357752187718,3.56,0.2338000000000089,-0.0936000000000125,0.3274000000000214,-0.0222194650996961,48,-0.0031999999999996,-0.0074000000000005,-0.0042000000000009,52,0.0067999999999983,0.0173999999999985,0.0106000000000002,55,-0.0137,0.1710999999999991,0.184799999999999,50,0.0062999999999995,0.0117000000000011,0.0054000000000016,62,-0.0046999999999997,9.999999999976694e-05,0.0047999999999994,63,-0.0019999999999988,-0.0006999999999983,0.0013000000000005,35,0.0701,0.0540999999999982,-0.0160000000000017,47,0.0548999999999999,0.0607000000000006,0.0058000000000007,46,0.0729000000000006,0.0726000000000013,-0.0002999999999993,48,-0.0466000000000015,-0.0031999999999996,0.0434000000000019,52,-0.0227000000000003,0.0067999999999983,0.0294999999999986,55,-0.0499000000000009,-0.0137,0.0362000000000009,50,-0.0360000000000013,0.0062999999999995,0.0423000000000008,62,-0.0417999999999985,-0.0046999999999997,0.0370999999999988,63,-0.0477999999999987,-0.0019999999999988,0.045799999999999896,35,0.0382999999999995,0.0701,0.031800000000000495,47,0.0396999999999998,0.0548999999999999,0.015200000000000102,46,0.0474999999999994,0.0729000000000006,0.025400000000001206
Ag@Ni,-0.1099999999999994,-0.4984999999999999,0.2469000000000001,0.0244999999999999,-0.8847,0.0187999999999988,Ni,0.1646,3.382030427125104,55,Cu,0.0131000000000014,5.946805987250635,59,Ni,-0.0213,6.371403463915938,54,"[61, 49, 51, 46, 62, 45, 41, 63, 57]",17.71785876291207,3.53,0.2509000000000047,-0.1265000000000105,0.3774000000000153,-0.0062084251529455,51,0.0031999999999996,0.0139999999999993,0.0107999999999996,55,-0.0402999999999984,0.1646,0.2048999999999984,54,-0.0299000000000013,-0.0213,0.0086000000000013,49,0.0132000000000012,0.0142999999999986,0.0010999999999974,61,-0.0267000000000017,-0.0267000000000017,0.0,62,-0.0410000000000003,-0.0347000000000008,0.0062999999999995,34,0.0005999999999986,-0.0101000000000013,-0.0106999999999999,46,0.0554999999999985,0.0622000000000007,0.0067000000000021,45,0.0376000000000011,0.0238000000000013,-0.0137999999999997,51,-0.0117000000000011,0.0031999999999996,0.014900000000000701,55,-0.0499000000000009,-0.0402999999999984,0.009600000000002502,54,-0.0315000000000011,-0.0299000000000013,0.001599999999999796,49,0.0066999999999985,0.0132000000000012,0.006500000000002701,61,-0.0359000000000016,-0.0267000000000017,0.009199999999999896,62,-0.0417999999999985,-0.0410000000000003,0.000799999999998198,34,0.0030999999999998,0.0005999999999986,-0.0025000000000012,46,0.0474999999999994,0.0554999999999985,0.007999999999999105,45,0.0339999999999989,0.0376000000000011,0.0036000000000021987
Au@Ni,-0.4376999999999995,-0.4333,0.205,0.6345000000000001,-0.875,0.0218999999999987,Ni,0.1833999999999989,3.3919875383025806,55,Cu,0.008700000000001,5.943723912666201,59,Ni,0.010200000000001,6.391042572225599,54,"[61, 49, 46, 45, 51, 62, 41, 29, 40]",17.803067878177625,3.64,0.2280999999999975,-0.1168999999999904,0.344999999999988,-0.0245856502370873,51,0.0439000000000007,0.0505999999999993,0.0066999999999985,55,-0.0039000000000015,0.1833999999999989,0.1873000000000004,54,0.0056000000000011,0.010200000000001,0.0045999999999999,49,0.0545000000000008,0.0562000000000004,0.0016999999999996,61,0.0132000000000012,0.0065999999999988,-0.0066000000000024,62,-0.0030000000000001,0.0059000000000004,0.0089000000000005,34,0.0372999999999983,0.028500000000001,-0.0087999999999973,46,0.0894000000000012,0.0801000000000016,-0.0092999999999996,45,0.059000000000001,0.0513000000000012,-0.0076999999999998,51,-0.0117000000000011,0.0439000000000007,0.0556000000000018,55,-0.0499000000000009,-0.0039000000000015,0.0459999999999994,54,-0.0315000000000011,0.0056000000000011,0.037100000000002194,49,0.0066999999999985,0.0545000000000008,0.0478000000000023,61,-0.0359000000000016,0.0132000000000012,0.049100000000002794,62,-0.0417999999999985,-0.0030000000000001,0.0387999999999984,34,0.0030999999999998,0.0372999999999983,0.0341999999999985,46,0.0474999999999994,0.0894000000000012,0.041900000000001804,45,0.0339999999999989,0.059000000000001,0.025000000000002104
