system,ad_site_number,surf_energy,0_N2,2_N,3_N2H,4_NHNH,5_NNH2,6_NNH3,7_NH2NH,8_N2H4,9_NH2,10_NH,11_NH3,13_H
0_CuNi,ad_site_1,-325257.71160517656,-0.7674585890616754,-7.500567312640555,-1.8576815833793034,-1.5184073517225443,-2.98601073126315,-4.090311437161063,-2.2231051970852604,-1.5996915252820827,-3.890019672952974,-6.314894499425009,-1.1166562171218857,-3.931918592100871
0_CuNi,ad_site_2,-325257.71160517656,-0.884083064460242,-7.500131745063186,-2.129376004449,-1.5496979510421625,-2.6070945422468412,-4.090311437161063,-2.2309296061398527,-1.139791396976193,-3.656415606588041,-5.863054567068048,-1.2134819319270491,-3.770560106345826
1_Ag_subCu,ad_site_1,-323786.3164802258,-0.7546062139571177,-8.833680513952345,-1.8452231177933527,-1.4721002402143313,-3.47237673064933,-4.336873196487204,-2.2592433822105704,-1.6024081516719662,-3.3076392220402226,-6.764432006566949,-1.093464614454092,-4.023751917087381
1_Ag_subCu,ad_site_2,-323786.3164802258,-0.7546062139571177,-7.644278073855162,-2.1627493065306,-1.5096416143128408,-2.711630619021662,-4.336873196487204,-1.8126410636582477,-0.8996729155245475,-3.5425730160506532,-6.056551404639777,-1.093464614454092,-3.821639113677108
2_Au_subCu,ad_site_1,-321329.6146741825,-0.7302398933805989,-8.816798291108057,-2.1470205412468886,-1.5047185222861117,-3.460111388536234,-4.31850447157899,-2.271742843219272,-1.6235957865777664,-3.716702625127425,-6.673040999034583,-1.1302097840615488,-3.8993310930341494
2_Au_subCu,ad_site_2,-321329.6146741825,-0.8537990436433347,-7.521793680262704,-2.1470205412468886,-1.5418332038457265,-2.6600405786955434,-4.31850447157899,-1.8320290557571752,-1.5535628322453476,-3.5021900988951415,-5.956906310450449,-1.2340003471853151,-3.8022968326363724
6_Pd_subNi,ad_site_2,-323291.3182206133,-0.8753829678297507,-7.481950583049979,-2.005536682844536,-0.9679200749737902,-2.573295667483535,-4.141694749719818,-2.4556985964995874,-1.2306809160567127,-3.4929867626353257,-5.8652857080383,-1.211382497023692,-3.6850921244145383
6_Pd_subNi,ad_site_1,-323291.3182206133,-0.7594634625255594,-7.474434130996883,-2.0052000505373826,-1.4878256177539697,-2.5456201960985254,-3.9456032881423653,-2.4946049260438485,-1.2306809160567127,-3.18093257714753,-5.696939321810078,-1.122626783771807,-3.7642639770888735
7_Pt_subNi,ad_site_1,-323455.222624848,-0.8464195424584204,-7.7252543748444396,-2.126659203901795,-0.9789956213567166,-2.7464520414430353,-4.03170078423841,-2.4601642619932136,-1.2885935690777615,-3.6379582541714512,-5.762054701270699,-1.228188269402267,-3.743985348755402
7_Pt_subNi,ad_site_2,-323455.222624848,-0.7278134044735225,-7.630699329541017,-2.336436047159509,-1.5219581982596537,-2.4660540188267532,-4.03170078423841,-2.501747866230744,-1.454704150388693,-3.2100543538410307,-5.71256034890439,-1.132152613348694,-3.7564941758424055
9_Fe_subNi,ad_site_2,-325066.99482174136,-0.5228641792326698,-8.247410555425517,-2.5696828264616443,-0.9449826417035183,-2.546784917831019,-4.533499047931173,-2.4844692996816775,-1.0740523089247063,-3.5832583663006403,-5.855763601015951,-1.1949648668322652,-3.772172299238761
9_Fe_subNi,ad_site_1,-325066.99482174136,-0.8771205849024,-7.475055053070605,-2.094582280550526,-1.5391215435006416,-2.543801932544511,-4.066001789833308,-2.485784530476394,-1.0740523089247063,-3.6567784244263635,-5.855913524974767,-1.1984959674681477,-3.7731653728074406
11_Pd_subCu,ad_site_2,-322467.9781963675,-0.7264439590634311,-8.176482922627542,-2.2156749656413695,-1.4995791676115005,-3.128257143143628,-4.037077091765013,-2.2301851415072633,-1.6113978362467378,-3.4639320049620324,-6.260614819643251,-1.1098374138617828,-3.9193899415218283
11_Pd_subCu,ad_site_1,-322467.9781963675,-0.8478552340656051,-7.529204201183234,-2.2156749656413695,-1.519543408917798,-2.6724605714041445,-4.037077091765013,-1.9963758888302436,-1.1249632178281672,-3.5481876859859653,-5.805652632662259,-1.20632386636305,-3.796854723852036
13_Ag_subNi,ad_site_1,-324609.7110412068,-0.774378451473126,-8.182461185901843,-2.1252362445219433,-1.5056983125755323,-3.0855620956933762,-4.64607080993278,-2.0795094326717845,-1.439346038567578,-3.917917586660394,-6.340163664536249,-1.1090924811231844,-3.9343272153305833
13_Ag_subNi,ad_site_2,-324609.7110412068,-0.8846752662919926,-7.532638502537225,-2.1252362445219433,-1.5327440887699595,-2.5747845600196797,-4.095560150409938,-1.9405720599575034,-1.1612962856364675,-3.643184426794676,-5.881027212243225,-0.8492594964135378,-3.780931016047859
14_Au_subNi,ad_site_2,-322152.9672299565,-0.8750141253239008,-8.052186612560831,-2.401111099809782,-1.6084088603743112,-2.96317686467205,-4.622952774647047,-1.9921369527696697,-1.6737215225060709,-3.6870265793124304,-6.203549015445333,-1.2391595485186144,-3.8165171715914283
14_Au_subNi,ad_site_1,-322152.9672299565,-0.7685344070904421,-8.11385370121286,-2.845959097611626,-1.521830631164903,-2.9765535764815922,-4.622952774647047,-2.0559174072809583,-1.4885121220198698,-3.9302062762155288,-6.280589827154927,-1.1578124907481424,-4.024477037102358
