system,ad_site_number,surf_energy,0_N2,2_N,3_N2H,4_NHNH,5_NNH2,6_NNH3,7_NH2NH,8_N2H4,9_NH2,10_NH,11_NH3,12_NH2NH3,13_H
0_CuNi,ad_site_1,-325257.71160517656,-325806.51298188587,-325531.10786206054,-325821.0721070048,-325837.5862328776,-325838.13162962784,-325853.39273691806,-325854.30765214044,-325870.7398277493,-325565.0643228979,-325548.5913637451,-325581.44900162274,-325887.80174202786,-325274.2060837502
0_CuNi,ad_site_2,-325257.71160517656,-325806.62960636127,-325531.10742649296,-325821.3438014259,-325837.61752347695,-325837.7527134388,-325853.39273691806,-325854.3154765495,-325870.279927621,-325564.8307188315,-325548.13952381274,-325581.54582733754,-325888.0562760698,-325274.0447252644
1_Ag_subCu,ad_site_1,-323786.3164802258,-324335.10500456,-324061.0458503111,-324349.6645235885,-324366.1448008154,-324367.2228706765,-324382.24417372665,-324382.94866537483,-324399.347419425,-324093.0868174962,-324077.6457763015,-324110.03068506933,-324416.42514921195,-323802.9027921244
1_Ag_subCu,ad_site_2,-323786.3164802258,-324335.10500456,-324059.856447871,-324349.98204977723,-324366.1823421895,-324366.46212456486,-324382.24417372665,-324382.5020630563,-324398.6446841888,-324093.32175129023,-324076.9378956996,-324110.03068506933,-324415.89838896866,-323802.700679321
2_Au_subCu,ad_site_1,-321329.6146741825,-321878.3788321961,-321604.32716204494,-321893.2645149686,-321909.4756130541,-321910.50879929104,-321925.5239989584,-321926.2593587925,-321942.66680101654,-321636.794074856,-321620.85257925064,-321653.3656241956,-321959.7410190829,-321346.07656525704
2_Au_subCu,ad_site_2,-321329.6146741825,-321878.5023913464,-321603.0321574341,-321893.2645149686,-321909.5127277357,-321909.7087284812,-321925.5239989584,-321925.81964500505,-321942.5967680622,-321636.57956232975,-321620.13644456206,-321653.4694147587,-321959.71008272434,-321345.97953099664
6_Pd_subNi,ad_site_2,-323291.3182206133,-323840.22752170137,-323564.6958607677,-323854.826577541,-323870.6423610376,-323871.3255300008,-323887.05073566735,-323888.1468609766,-323903.9774325768,-323598.2739054243,-323581.74837039044,-323615.15034333937,-323921.1528282104,-323307.5658727192
6_Pd_subNi,ad_site_1,-323291.3182206133,-323840.11160219606,-323564.6883443156,-323854.8262409087,-323871.1622665804,-323871.2978545294,-323886.85464420577,-323888.18576730613,-323903.9774325768,-323597.9618512388,-323581.5800240042,-323615.0615876261,-323921.1210028469,-323307.6450445719
7_Pt_subNi,ad_site_1,-323455.222624848,-324004.1029625107,-323728.8435687942,-324018.8521042968,-324034.5578408187,-324035.40309060947,-324050.8451459366,-324052.0557308768,-324067.93974946457,-323762.32328115054,-323745.5495436184,-323779.07155334647,-324085.5776951863,-323471.5291701783
7_Pt_subNi,ad_site_2,-323455.222624848,-324003.98435637273,-323728.7490137489,-324019.06188114005,-324035.1008033956,-324035.12269258685,-324050.8451459366,-324052.09731448104,-324068.1058600459,-323761.8953772502,-323745.50004926603,-323778.9755176904,-324084.9500066934,-323471.5416790054
9_Fe_subNi,ad_site_2,-325066.99482174136,-325615.55160404084,-325341.1379218681,-325631.0673248127,-325646.2960247324,-325646.9756203792,-325663.11914109363,-325663.85223280784,-325679.49740509776,-325374.040778156,-325357.4154494115,-325390.81052683725,-325697.08617249905,-325083.3295540221
9_Fe_subNi,ad_site_1,-325066.99482174136,-325615.9058604465,-325340.36556636577,-325630.5922242668,-325646.8901636342,-325646.9726373939,-325662.65164383553,-325663.85354803863,-325679.49740509776,-325374.11429821415,-325357.41559933545,-325390.8140579379,-325697.3099589412,-325083.3305470957
11_Pd_subCu,ad_site_2,-322467.9781963675,-323016.7385584468,-322742.05036886147,-323031.696691578,-323047.83399588446,-323048.54046723066,-323063.6060937636,-323064.5813232758,-323081.0181252512,-322774.9048264208,-322758.80367525626,-322791.7087740104,-323098.390406793,-322484.46014629054
11_Pd_subCu,ad_site_1,-322467.9781963675,-323016.8599697218,-322741.40309014,-323031.696691578,-323047.85396012577,-323048.0846706589,-323063.6060937636,-323064.34751402313,-323080.5316906328,-322774.98908210185,-322758.3487130693,-322791.8052604629,-323098.2634823208,-322484.3376110729
13_Ag_subNi,ad_site_1,-324609.7110412068,-325158.5193377785,-324883.789191964,-325173.3390976962,-325189.5729598687,-325190.2306170225,-325205.94793232105,-325206.16349240625,-325222.5789182928,-324917.0916568418,-324900.61606894044,-324933.44087391696,-325239.6580116026,-324626.20792840363
13_Ag_subNi,ad_site_2,-324609.7110412068,-325158.6296345933,-324883.13936928066,-325173.3390976962,-325189.6000056449,-325189.7198394868,-325205.39742166153,-325206.02455503354,-325222.3008685399,-324916.81692368194,-324900.15693248814,-324933.18104093225,-325239.46884085785,-324626.05453220435
14_Au_subNi,ad_site_2,-322152.9672299565,-322701.8761622021,-322426.9151061404,-322716.8711613012,-322732.93185916624,-322733.3644205412,-322749.1810030355,-322749.3323086761,-322766.0694825265,-322460.1169545842,-322443.7356430411,-322476.8271297341,-322782.8643817298,-322169.34630710963
14_Au_subNi,ad_site_1,-322152.9672299565,-322701.76968248386,-322426.9767732291,-322717.316009299,-322732.84528093704,-322733.377797253,-322749.1810030355,-322749.3960891306,-322765.884273126,-322460.3601342811,-322443.8126838528,-322476.7457826763,-322782.8643817298,-322169.55426697514
