system,ad_site_number,surf_energy,0_N2,2_N,3_N2H,4_NHNH,5_NNH2,6_NNH3,7_NH2NH,8_N2H4,9_NH2,10_NH,11_NH3,12_NH2NH3
0_CuNi,ad_site_1,-325257.71160517656,-325805.9138121581,-325531.50388550386,-325820.11086894,-325836.0937456274,-325835.1651406028,-325850.5350432899,-325851.80782700377,-325869.2488882989,-325563.56251784804,-325548.40033036587,-325580.890868788,-325884.2842314886
0_CuNi,ad_site_2,-325257.71160517656,-325806.5885641525,-325532.04817405867,-325821.0390824632,-325836.7438423718,-325836.20158772013,-325851.21628913167,-325852.2209384222,-325869.344166456,-325564.04411650123,-325548.8605652094,-325581.2136861737,-325884.3878465232
0_CuNi,ad_site_3,-325257.71160517656,-325805.8771043484,-325530.95688466565,-325820.0424086676,-325836.0775160661,-325835.1265850256,-325850.48657004157,-325851.7263692268,-325869.2622788518,-325563.4677756454,-325548.17164551385,-325580.8542140868,-325884.3178284861
0_CuNi,ad_site_4,-325257.71160517656,-325805.87714776554,-325529.5120990707,-325820.9518656299,-325836.48395514523,-325836.1063527679,-325851.105010317,-325852.23257583793,-325869.3629799269,-325563.94017457875,-325548.1815444744,-325581.14526423544,-325884.4252550988
1_Ag_subCu,ad_site_1,-323786.3164802258,-324333.7711643556,-324059.08315939695,-324347.56470742903,-324363.9858084356,-324361.9413173815,-324378.5021024011,-324379.5279252351,-324397.3573992843,-324091.4921770069,-324076.2761239849,-324109.0341915439,-324412.3782307104
2_Au_subCu,ad_site_1,-321329.6146741825,-321876.9645821547,-321602.3376670804,-321890.7730716286,-321907.1349665831,-321905.07931502577,-321921.6381313136,-321922.70654554403,-321940.5504869056,-321634.82413163356,-321619.4793316513,-321652.26212516904,-321955.6915039137
6_Pd_subNi,ad_site_1,-323291.3182206133,-323839.6008963841,-323564.291564259,-323853.57120556216,-323869.53348129935,-323868.07669045025,-323884.029142593,-323885.0932173399,-323902.59502499027,-323597.0606406625,-323581.2803178645,-323614.50794668327,-323917.6977786621
7_Pt_subNi,ad_site_1,-323455.222624848,-324003.58060768415,-323728.3621594316,-324017.69759694044,-324033.41669438477,-324032.22052678594,-324047.97161801596,-324048.99943683535,-324066.38906563475,-323761.165419399,-323745.26017197006,-323778.45452065725,-324081.5632536198
9_Fe_subNi,ad_site_1,-325066.99482174136,-325615.53447109624,-325339.4810849862,-325630.46269708604,-325645.76173503266,-325645.71726148576,-325660.9559268367,-325661.88555556396,-325678.6706080622,-325373.5239862882,-325355.93149620027,-325390.4093910574,-325693.5505172052
11_Pd_subCu,ad_site_1,-322467.9781963675,-323016.17024253856,-322741.27485570917,-323030.12226781383,-323046.2036474142,-323044.53395748214,-323060.6068385666,-323061.6199573929,-323079.2646137716,-322773.62566382764,-322758.30761823227,-322791.0851222932,-323094.4056522944
13_Ag_subNi,ad_site_1,-324609.7110412068,-325157.1690639872,-324882.1177460404,-325170.97833952657,-325187.284121219,-325185.31045511,-325201.925256388,-325202.9796096063,-325220.6809130288,-324914.93916557217,-324899.26571317477,-324932.4402202625,-325235.69741221506
14_Au_subNi,ad_site_1,-322152.9672299565,-322700.38675462204,-322425.37734863686,-322714.2294851194,-322730.47636067704,-322731.34786437696,-322745.07249735977,-322746.1511468932,-322763.84502459184,-322458.2983370504,-322442.4885272293,-322475.6831745046,-322778.99133687734
